"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2004","1,813.24","1,768.78","1,912.93","1,759.21","","4.79%"
"01/12/2003","1,730.38","1,723.65","1,772.16","1,673.45","","2.88%"
"01/11/2003","1,681.97","1,731.77","1,795.80","1,618.17","","-1.46%"
"01/10/2003","1,706.95","1,621.06","1,804.95","1,604.94","","6.28%"
"01/09/2003","1,606.03","1,608.59","1,647.36","1,546.42","","1.45%"
"01/08/2003","1,583.07","1,565.60","1,642.23","1,486.12","","3.22%"
"01/07/2003","1,533.69","1,448.96","1,605.60","1,432.03","","7.61%"
"01/06/2003","1,425.24","1,366.96","1,523.27","1,355.13","","7.60%"
"01/05/2003","1,324.56","1,278.53","1,364.75","1,253.90","","5.83%"
"01/04/2003","1,251.60","1,260.03","1,344.27","1,195.56","","1.32%"
"01/03/2003","1,235.25","1,278.35","1,338.71","1,170.85","","-0.09%"
"01/02/2003","1,236.36","1,299.79","1,323.50","1,232.02","","-1.41%"
"01/01/2003","1,253.98","1,338.02","1,406.31","1,253.98","","-3.75%"
